1,3.19E-05,4.59E-01,1.19E-01,4.59E-01,2.24E-01,1.18E-18,3.90E-16,9.84E-15,1.01E-05,2.29E-04,7.17E+00,2.27E+01,3.70E+09,2.66E+01,-3.19E-05,-7.41E-01,-2.34E-01,-7.41E-01,-4.29E-01,2.85E-19,3.56E-16,9.15E-15,6.59E-06,1.06E-04,3.33E+00,1.62E+01,1.85E+09,2.66E+01
2,4.96E-05,5.27E-01,1.19E-01,5.27E-01,2.79E-01,8.82E-19,3.92E-16,1.01E-14,1.39E-05,2.72E-04,5.49E+00,1.96E+01,4.29E+09,4.13E+01,-4.96E-05,-6.73E-01,-2.32E-01,-6.73E-01,-3.73E-01,2.71E-18,7.08E-16,1.81E-14,1.11E-05,1.91E-04,3.85E+00,1.72E+01,1.68E+09,4.13E+01
2.625,5.80E-05,5.55E-01,1.19E-01,5.55E-01,3.03E-01,1.50E-18,3.93E-16,1.01E-14,1.56E-05,2.88E-04,4.97E+00,1.85E+01,4.53E+09,4.83E+01,-5.80E-05,-6.45E-01,-2.31E-01,-6.45E-01,-3.50E-01,5.07E-18,9.27E-16,2.36E-14,1.35E-05,2.39E-04,4.12E+00,1.77E+01,1.61E+09,4.83E+01
3,6.23E-05,5.69E-01,1.20E-01,5.69E-01,3.14E-01,1.77E-18,3.93E-16,1.02E-14,1.64E-05,2.96E-04,4.74E+00,1.81E+01,4.61E+09,5.19E+01,-6.23E-05,-6.31E-01,-2.31E-01,-6.31E-01,-3.38E-01,6.75E-18,1.06E-15,2.69E-14,1.48E-05,2.66E-04,4.27E+00,1.80E+01,1.57E+09,5.19E+01
3.625,6.87E-05,5.89E-01,1.20E-01,5.89E-01,3.31E-01,2.10E-18,3.94E-16,1.02E-14,1.76E-05,3.06E-04,4.45E+00,1.74E+01,4.77E+09,5.73E+01,-6.87E-05,-6.11E-01,-2.31E-01,-6.11E-01,-3.22E-01,9.98E-18,1.27E-15,3.23E-14,1.68E-05,3.09E-04,4.50E+00,1.84E+01,1.52E+09,5.73E+01
4,7.22E-05,6.00E-01,1.20E-01,6.00E-01,3.40E-01,2.26E-18,3.94E-16,1.02E-14,1.82E-05,3.11E-04,4.31E+00,1.71E+01,4.86E+09,6.02E+01,-7.22E-05,-6.00E-01,-2.31E-01,-6.00E-01,-3.14E-01,1.21E-17,1.41E-15,3.55E-14,1.79E-05,3.34E-04,4.63E+00,1.87E+01,1.50E+09,6.02E+01
5,8.02E-05,6.23E-01,1.20E-01,6.23E-01,3.60E-01,2.58E-18,3.94E-16,1.03E-14,1.96E-05,3.23E-04,4.03E+00,1.65E+01,4.99E+09,6.68E+01,-8.02E-05,-5.77E-01,-2.30E-01,-5.77E-01,-2.95E-01,1.86E-17,1.75E-15,4.41E-14,2.06E-05,3.97E-04,4.95E+00,1.92E+01,1.43E+09,6.68E+01
6,8.69E-05,6.43E-01,1.20E-01,6.43E-01,3.76E-01,2.79E-18,3.95E-16,1.03E-14,2.07E-05,3.32E-04,3.82E+00,1.61E+01,5.14E+09,7.24E+01,-8.69E-05,-5.57E-01,-2.30E-01,-5.57E-01,-2.80E-01,2.61E-17,2.10E-15,5.25E-14,2.31E-05,4.55E-04,5.24E+00,1.97E+01,1.38E+09,7.24E+01
7,9.27E-05,6.59E-01,1.20E-01,6.59E-01,3.90E-01,2.95E-18,3.95E-16,1.03E-14,2.16E-05,3.40E-04,3.67E+00,1.57E+01,5.25E+09,7.73E+01,-9.27E-05,-5.41E-01,-2.30E-01,-5.41E-01,-2.67E-01,3.44E-17,2.44E-15,6.09E-14,2.53E-05,5.10E-04,5.50E+00,2.02E+01,1.33E+09,7.73E+01
8,9.78E-05,6.73E-01,1.20E-01,6.73E-01,4.02E-01,3.08E-18,3.96E-16,1.04E-14,2.25E-05,3.46E-04,3.54E+00,1.54E+01,5.30E+09,8.15E+01,-9.78E-05,-5.27E-01,-2.30E-01,-5.27E-01,-2.57E-01,4.35E-17,2.78E-15,6.92E-14,2.73E-05,5.62E-04,5.75E+00,2.06E+01,1.29E+09,8.15E+01
9,1.02E-04,6.85E-01,1.20E-01,6.85E-01,4.13E-01,3.17E-18,3.96E-16,1.04E-14,2.32E-05,3.52E-04,3.44E+00,1.52E+01,5.38E+09,8.52E+01,-1.02E-04,-5.15E-01,-2.29E-01,-5.15E-01,-2.47E-01,5.32E-17,3.13E-15,7.74E-14,2.92E-05,6.12E-04,5.98E+00,2.10E+01,1.26E+09,8.52E+01
10,1.06E-04,6.95E-01,1.21E-01,6.95E-01,4.22E-01,3.25E-18,3.96E-16,1.04E-14,2.38E-05,3.57E-04,3.36E+00,1.50E+01,5.46E+09,8.85E+01,-1.06E-04,-5.05E-01,-2.29E-01,-5.05E-01,-2.39E-01,6.35E-17,3.47E-15,8.55E-14,3.09E-05,6.59E-04,6.20E+00,2.13E+01,1.23E+09,8.85E+01
