1,9.89E-05,5.04E-01,2.83E-01,5.04E-01,1.67E-01,1.04E-18,3.10E-16,1.68E-15,3.65E-05,7.71E-04,7.80E+00,2.11E+01,7.31E+10,8.24E+01,-9.89E-05,-6.96E-01,-3.25E-01,-6.96E-01,-3.17E-01,3.75E-19,2.65E-16,1.63E-15,3.39E-05,4.05E-04,4.10E+00,1.20E+01,3.96E+10,8.24E+01
2,1.49E-04,5.62E-01,2.83E-01,5.62E-01,2.03E-01,7.34E-19,3.10E-16,1.73E-15,4.70E-05,8.82E-04,5.90E+00,1.88E+01,8.11E+10,1.24E+02,-1.49E-04,-6.38E-01,-3.26E-01,-6.38E-01,-2.73E-01,1.09E-18,5.25E-16,3.19E-15,5.66E-05,7.35E-04,4.92E+00,1.30E+01,3.67E+10,1.24E+02
2.625,1.72E-04,5.86E-01,2.83E-01,5.86E-01,2.18E-01,6.30E-19,3.10E-16,1.75E-15,5.12E-05,9.17E-04,5.34E+00,1.79E+01,8.35E+10,1.43E+02,-1.72E-04,-6.14E-01,-3.26E-01,-6.14E-01,-2.55E-01,1.65E-18,6.88E-16,4.15E-15,6.82E-05,9.17E-04,5.34E+00,1.35E+01,3.52E+10,1.43E+02
3,1.83E-04,5.97E-01,2.83E-01,5.97E-01,2.25E-01,5.83E-19,3.11E-16,1.76E-15,5.32E-05,9.33E-04,5.09E+00,1.75E+01,8.43E+10,1.53E+02,-1.83E-04,-6.03E-01,-3.27E-01,-6.03E-01,-2.47E-01,2.01E-18,7.85E-16,4.71E-15,7.44E-05,1.02E-03,5.56E+00,1.37E+01,3.44E+10,1.53E+02
3.625,2.00E-04,6.14E-01,2.83E-01,6.14E-01,2.34E-01,5.20E-19,3.11E-16,1.76E-15,5.61E-05,9.53E-04,4.77E+00,1.70E+01,8.60E+10,1.66E+02,-2.00E-04,-5.86E-01,-3.27E-01,-5.86E-01,-2.34E-01,2.66E-18,9.48E-16,5.64E-15,8.39E-05,1.18E-03,5.90E+00,1.41E+01,3.33E+10,1.66E+02
4,2.08E-04,6.22E-01,2.83E-01,6.22E-01,2.40E-01,4.89E-19,3.11E-16,1.77E-15,5.76E-05,9.63E-04,4.62E+00,1.67E+01,8.66E+10,1.74E+02,-2.08E-04,-5.78E-01,-3.27E-01,-5.78E-01,-2.28E-01,3.07E-18,1.05E-15,6.19E-15,8.91E-05,1.27E-03,6.09E+00,1.43E+01,3.27E+10,1.74E+02
5,2.28E-04,6.42E-01,2.83E-01,6.42E-01,2.51E-01,4.24E-19,3.11E-16,1.78E-15,6.08E-05,9.84E-04,4.31E+00,1.62E+01,8.80E+10,1.90E+02,-2.28E-04,-5.58E-01,-3.28E-01,-5.58E-01,-2.14E-01,4.24E-18,1.31E-15,7.65E-15,1.02E-04,1.50E-03,6.55E+00,1.47E+01,3.11E+10,1.90E+02
6,2.45E-04,6.57E-01,2.83E-01,6.57E-01,2.60E-01,3.76E-19,3.11E-16,1.79E-15,6.34E-05,1.00E-03,4.09E+00,1.58E+01,8.89E+10,2.04E+02,-2.45E-04,-5.43E-01,-3.28E-01,-5.43E-01,-2.03E-01,5.49E-18,1.56E-15,9.07E-15,1.13E-04,1.70E-03,6.96E+00,1.51E+01,2.99E+10,2.04E+02
7,2.59E-04,6.70E-01,2.83E-01,6.70E-01,2.68E-01,3.39E-19,3.11E-16,1.79E-15,6.55E-05,1.01E-03,3.91E+00,1.54E+01,9.00E+10,2.15E+02,-2.59E-04,-5.30E-01,-3.28E-01,-5.30E-01,-1.93E-01,6.81E-18,1.82E-15,1.05E-14,1.23E-04,1.89E-03,7.32E+00,1.54E+01,2.87E+10,2.15E+02
8,2.70E-04,6.81E-01,2.83E-01,6.81E-01,2.74E-01,3.08E-19,3.11E-16,1.79E-15,6.73E-05,1.02E-03,3.78E+00,1.52E+01,9.08E+10,2.25E+02,-2.70E-04,-5.19E-01,-3.28E-01,-5.19E-01,-1.86E-01,8.19E-18,2.08E-15,1.19E-14,1.32E-04,2.07E-03,7.65E+00,1.57E+01,2.77E+10,2.25E+02
9,2.81E-04,6.91E-01,2.83E-01,6.91E-01,2.80E-01,2.84E-19,3.11E-16,1.80E-15,6.89E-05,1.03E-03,3.67E+00,1.50E+01,9.11E+10,2.34E+02,-2.81E-04,-5.09E-01,-3.29E-01,-5.09E-01,-1.79E-01,9.61E-18,2.34E-15,1.32E-14,1.40E-04,2.23E-03,7.95E+00,1.59E+01,2.69E+10,2.34E+02
10,2.90E-04,6.99E-01,2.83E-01,6.99E-01,2.84E-01,2.63E-19,3.11E-16,1.80E-15,7.02E-05,1.04E-03,3.57E+00,1.48E+01,9.17E+10,2.42E+02,-2.90E-04,-5.01E-01,-3.29E-01,-5.01E-01,-1.73E-01,1.11E-17,2.60E-15,1.46E-14,1.48E-04,2.39E-03,8.22E+00,1.61E+01,2.60E+10,2.42E+02
