1,5.63E-05,4.71E-01,1.67E-01,4.71E-01,2.08E-01,1.96E-18,3.41E-16,4.72E-15,1.80E-05,4.14E-04,7.35E+00,2.31E+01,1.40E+10,4.69E+01,-5.63E-05,-7.29E-01,-2.64E-01,-7.29E-01,-3.96E-01,5.12E-19,3.04E-16,4.44E-15,1.48E-05,1.96E-04,3.48E+00,1.33E+01,7.02E+09,4.69E+01
2,8.69E-05,5.36E-01,1.68E-01,5.36E-01,2.57E-01,8.66E-19,3.43E-16,4.84E-15,2.44E-05,4.84E-04,5.57E+00,1.98E+01,1.59E+10,7.24E+01,-8.69E-05,-6.64E-01,-2.63E-01,-6.64E-01,-3.44E-01,2.07E-18,6.04E-16,8.75E-15,2.47E-05,3.55E-04,4.08E+00,1.44E+01,6.45E+09,7.24E+01
2.625,1.01E-04,5.63E-01,1.68E-01,5.63E-01,2.78E-01,5.19E-19,3.43E-16,4.88E-15,2.72E-05,5.08E-04,5.03E+00,1.87E+01,1.66E+10,8.42E+01,-1.01E-04,-6.37E-01,-2.63E-01,-6.37E-01,-3.22E-01,3.43E-18,7.91E-16,1.14E-14,2.97E-05,4.44E-04,4.39E+00,1.49E+01,6.20E+09,8.42E+01
3,1.08E-04,5.77E-01,1.68E-01,5.77E-01,2.88E-01,3.66E-19,3.43E-16,4.90E-15,2.85E-05,5.19E-04,4.79E+00,1.82E+01,1.69E+10,9.03E+01,-1.08E-04,-6.23E-01,-2.63E-01,-6.23E-01,-3.12E-01,4.37E-18,9.03E-16,1.30E-14,3.25E-05,4.94E-04,4.56E+00,1.52E+01,6.05E+09,9.03E+01
3.625,1.19E-04,5.96E-01,1.68E-01,5.96E-01,3.02E-01,1.69E-19,3.44E-16,4.92E-15,3.04E-05,5.35E-04,4.49E+00,1.76E+01,1.73E+10,9.93E+01,-1.19E-04,-6.04E-01,-2.62E-01,-6.04E-01,-2.97E-01,6.11E-18,1.09E-15,1.56E-14,3.67E-05,5.75E-04,4.82E+00,1.56E+01,5.87E+09,9.93E+01
4,1.25E-04,6.06E-01,1.68E-01,6.06E-01,3.10E-01,7.47E-20,3.44E-16,4.93E-15,3.14E-05,5.42E-04,4.34E+00,1.73E+01,1.75E+10,1.04E+02,-1.25E-04,-5.94E-01,-2.62E-01,-5.94E-01,-2.89E-01,7.25E-18,1.20E-15,1.71E-14,3.91E-05,6.21E-04,4.97E+00,1.59E+01,5.78E+09,1.04E+02
5,1.38E-04,6.28E-01,1.68E-01,6.28E-01,3.27E-01,1.18E-19,3.44E-16,4.96E-15,3.37E-05,5.59E-04,4.05E+00,1.66E+01,1.79E+10,1.15E+02,-1.38E-04,-5.72E-01,-2.62E-01,-5.72E-01,-2.71E-01,1.06E-17,1.50E-15,2.12E-14,4.47E-05,7.37E-04,5.34E+00,1.65E+01,5.53E+09,1.15E+02
6,1.49E-04,6.47E-01,1.69E-01,6.47E-01,3.41E-01,2.56E-19,3.44E-16,4.97E-15,3.54E-05,5.72E-04,3.84E+00,1.61E+01,1.83E+10,1.24E+02,-1.49E-04,-5.53E-01,-2.62E-01,-5.53E-01,-2.57E-01,1.44E-17,1.80E-15,2.53E-14,4.97E-05,8.45E-04,5.67E+00,1.70E+01,5.31E+09,1.24E+02
7,1.58E-04,6.62E-01,1.69E-01,6.62E-01,3.52E-01,3.59E-19,3.45E-16,4.99E-15,3.69E-05,5.82E-04,3.68E+00,1.58E+01,1.86E+10,1.32E+02,-1.58E-04,-5.38E-01,-2.62E-01,-5.38E-01,-2.46E-01,1.84E-17,2.09E-15,2.93E-14,5.42E-05,9.46E-04,5.97E+00,1.75E+01,5.14E+09,1.32E+02
8,1.66E-04,6.75E-01,1.69E-01,6.75E-01,3.62E-01,4.41E-19,3.45E-16,5.00E-15,3.82E-05,5.91E-04,3.55E+00,1.55E+01,1.88E+10,1.39E+02,-1.66E-04,-5.25E-01,-2.62E-01,-5.25E-01,-2.36E-01,2.28E-17,2.39E-15,3.32E-14,5.82E-05,1.04E-03,6.25E+00,1.79E+01,4.99E+09,1.39E+02
9,1.74E-04,6.86E-01,1.69E-01,6.86E-01,3.71E-01,5.06E-19,3.45E-16,5.01E-15,3.93E-05,5.98E-04,3.44E+00,1.52E+01,1.90E+10,1.45E+02,-1.74E-04,-5.14E-01,-2.62E-01,-5.14E-01,-2.27E-01,2.75E-17,2.68E-15,3.71E-14,6.19E-05,1.13E-03,6.52E+00,1.83E+01,4.85E+09,1.45E+02
10,1.80E-04,6.96E-01,1.69E-01,6.96E-01,3.78E-01,5.60E-19,3.45E-16,5.01E-15,4.03E-05,6.04E-04,3.36E+00,1.50E+01,1.92E+10,1.50E+02,-1.80E-04,-5.04E-01,-2.62E-01,-5.04E-01,-2.20E-01,3.23E-17,2.97E-15,4.10E-14,6.54E-05,1.22E-03,6.76E+00,1.86E+01,4.73E+09,1.50E+02
